省份,地区,品牌,企业,水源地/城市,类型,执行标准,产品分类
北京市,华北,燕京饮用水,燕京饮用水公司,北京,地方品牌,GB 19298,包装饮用水
北京市,华北,汇源矿泉水,汇源集团,北京,地方品牌,GB 8537,天然矿泉水
天津市,华北,康师傅,康师傅控股有限公司,天津,大型品牌,GB 19298,包装饮用水
河北省,华北,露露矿泉水,承德露露股份有限公司,承德,地方品牌,GB 8537,天然矿泉水
河北省,华北,野三坡矿泉水,野三坡矿泉水有限公司,保定涞水,地方品牌,GB 8537,天然矿泉水
山西省,华北,汾河泉水,汾河泉水厂,太原,地方品牌,GB 19298,包装饮用水
山西省,华北,崛围山矿泉水,崛围山矿泉水公司,太原,地方品牌,GB 8537,天然矿泉水
内蒙古,华北,阿尔山矿泉水,阿尔山矿泉水公司,兴安盟,地方品牌,GB 8537,天然矿泉水
内蒙古,华北,蒙牛矿泉水,蒙牛集团,内蒙古,地方品牌,GB 19298,包装饮用水
辽宁省,东北,丹东五龙背矿泉水,五龙背矿泉水公司,丹东,地方品牌,GB 8537,天然矿泉水
辽宁省,东北,抚顺矿泉水,抚顺矿泉水公司,抚顺,地方品牌,GB 8537,天然矿泉水
吉林省,东北,泉阳泉,吉林森工集团,长白山,区域品牌,GB 8537,天然矿泉水
吉林省,东北,恒大冰泉,恒大集团,长白山,高端品牌,GB 8537,天然矿泉水
吉林省,东北,农夫山泉(长白山),农夫山泉股份有限公司,长白山,大型品牌,GB 8537,天然矿泉水
黑龙江省,东北,五大连池矿泉水,五大连池矿泉水公司,黑河,区域品牌,GB 8537,天然矿泉水
黑龙江省,东北,北大荒矿泉水,北大荒集团,黑龙江,区域品牌,GB 8537,天然矿泉水
黑龙江省,东北,镜泊湖矿泉水,镜泊湖矿泉水公司,牡丹江,地方品牌,GB 8537,天然矿泉水
黑龙江省,东北,寒地矿泉水,寒地矿泉水公司,黑龙江,地方品牌,GB 8537,天然矿泉水
山东省,华东,崂山矿泉水,青岛崂山矿泉水有限公司,青岛,区域品牌,GB 8537,天然矿泉水
山东省,华东,趵突泉矿泉水,趵突泉矿泉水公司,济南,地方品牌,GB 8537,天然矿泉水
山东省,华东,日照矿泉水,日照矿泉水公司,日照,地方品牌,GB 8537,天然矿泉水
江苏省,华东,洞庭山矿泉水,洞庭山矿泉水公司,苏州,地方品牌,GB 8537,天然矿泉水
江苏省,华东,汤山矿泉水,汤山矿泉水公司,南京,地方品牌,GB 8537,天然矿泉水
浙江省,华东,农夫山泉,农夫山泉股份有限公司,杭州千岛湖,大型品牌,GB 19298,包装饮用水
浙江省,华东,娃哈哈,杭州娃哈哈集团有限公司,杭州,大型品牌,GB 19298,包装饮用水
浙江省,华东,虎跑泉,虎跑泉饮用水公司,杭州,地方品牌,GB 8537,天然矿泉水
浙江省,华东,四明山矿泉水,四明山矿泉水公司,宁波,地方品牌,GB 8537,天然矿泉水
安徽省,华东,天地精华,天地精华矿泉水有限公司,滁州,区域品牌,GB 8537,天然矿泉水
安徽省,华东,黄山矿泉水,黄山矿泉水公司,黄山,地方品牌,GB 8537,天然矿泉水
