Region,Province,Brand,Product Type,Execution Standard
华东地区,山东省,崂山矿泉水,饮用天然矿泉水,GB 8537
华东地区,山东省,沂源矿泉水,饮用天然矿泉水,GB 8537
华东地区,山东省,普利思,包装饮用水/纯净水,GB 19298 / GB 17323
华东地区,江苏省,洞庭山,饮用天然泉水,GB 19298
华东地区,江苏省,江南贡泉,饮用天然水,GB 19298
华东地区,江苏省,苏泉,包装饮用水,GB 19298
华东地区,江苏省,碧螺泉,包装饮用水,GB 19298
华东地区,江苏省,虎丘山泉,饮用天然山泉水,GB 19298
华东地区,浙江省,农夫山泉,饮用天然水,GB 19298
华东地区,浙江省,娃哈哈,饮用纯净水,GB 17323
华东地区,浙江省,千岛湖山泉,饮用天然山泉水,GB 19298
华东地区,浙江省,新安江,包装饮用水,GB 19298
华东地区,浙江省,莫干山,饮用天然山泉水,GB 19298
华东地区,安徽省,迎驾贡泉,饮用天然矿泉水,GB 8537
华东地区,安徽省,天地精华,饮用天然矿泉水,GB 8537
华东地区,安徽省,大别山山泉,饮用天然山泉水,GB 19298
华东地区,福建省,武夷山矿泉水,饮用天然矿泉水,GB 8537
华东地区,福建省,林涧秋月,包装饮用水,GB 19298
华东地区,福建省,溪源,包装饮用水,GB 19298
华东地区,福建省,永腾,包装饮用水,GB 19298
华东地区,江西省,润田,饮用纯净水,GB 17323
华东地区,江西省,润田翠,饮用天然矿泉水,GB 8537
华东地区,江西省,南山御泉,饮用天然山泉水,GB 19298
华东地区,上海市,正广和,饮用纯净水,GB 17323
华东地区,上海市,爱夸,饮用天然矿泉水,GB 8537
华南地区,广东省,怡宝,饮用纯净水,GB 17323
华南地区,广东省,百岁山,饮用天然矿泉水,GB 8537
华南地区,广东省,鼎湖山泉,饮用天然山泉水,GB 19298
华南地区,广东省,益力,饮用天然矿泉水,GB 8537
华南地区,广东省,日之泉,饮用纯净水/天然水,GB 17323 / GB 19298
华南地区,广东省,蓝带,包装饮用水,GB 19298
华南地区,广东省,长寿村,饮用天然矿泉水,GB 8537
华南地区,广东省,怡景,饮用纯净水,GB 17323
华南地区,广西壮族自治区,巴马丽琅,饮用天然矿泉水,GB 8537
华南地区,广西壮族自治区,巴马百年,饮用天然矿泉水,GB 8537
华南地区,广西壮族自治区,寿乡园,饮用天然水,GB 19298
华南地区,海南省,火山岩,饮用天然矿泉水,GB 8537
华南地区,海南省,椰树矿泉水,饮用天然矿泉水,GB 8537
华北地区,北京市,燕京矿泉水,饮用天然矿泉水,GB 8537
华北地区,北京市,汇源矿泉水,饮用天然矿泉水,GB 8537
华北地区,北京市,VOSS,饮用天然矿泉水(部分纯净水),GB 8537
华北地区,天津市,山海关,包装饮用水,GB 19298
华北地区,河北省,今麦郎,包装饮用水(凉白开),GB 19298
华北地区,河北省,雾灵山,饮用天然矿泉水,GB 8537
华北地区,山西省,沁园春,包装饮用水,GB 19298
华北地区,山西省,沁县矿泉水,饮用天然矿泉水,GB 8537
华北地区,山西省,普大,包装饮用水,GB 19298
华北地区,内蒙古自治区,阿尔山矿泉水,饮用天然矿泉水,GB 8537
华北地区,内蒙古自治区,伊刻活泉,饮用天然矿泉水,GB 8537
华北地区,内蒙古自治区,蒙牛圣牧,包装饮用水,GB 19298
华中地区,河南省,陈化店矿泉水,饮用天然矿泉水,GB 8537
华中地区,河南省,三睿益优泉,包装饮用水,GB 19298
华中地区,河南省,豫龙,包装饮用水,GB 19298
华中地区,河南省,涵养泉,包装饮用水,GB 19298
华中地区,湖北省,武当山,饮用天然山泉水,GB 19298
华中地区,湖北省,丹江口,饮用天然水,GB 19298
华中地区,湖北省,太和,包装饮用水,GB 19298
华中地区,湖北省,清能,包装饮用水,GB 19298
华中地区,湖南省,潇湘,饮用天然矿泉水,GB 8537
华中地区,湖南省,十八洞,饮用天然山泉水,GB 19298
华中地区,湖南省,悟源山泉,饮用天然山泉水,GB 19298
东北地区,吉林省,泉阳泉,饮用天然矿泉水,GB 8537
东北地区,吉林省,恒大冰泉,饮用天然矿泉水,GB 8537
东北地区,吉林省,白山水,饮用天然矿泉水,GB 8537
东北地区,黑龙江省,五大连池,饮用天然矿泉水,GB 8537
东北地区,黑龙江省,北大荒,饮用天然矿泉水,GB 8537
东北地区,黑龙江省,世罕泉,饮用天然矿泉水,GB 8537
东北地区,辽宁省,汤泉谷,饮用天然矿泉水,GB 8537
东北地区,辽宁省,易水源,包装饮用水,GB 19298
东北地区,辽宁省,四桂关,包装饮用水,GB 19298
东北地区,辽宁省,弓长岭,饮用天然矿泉水,GB 8537
西南地区,四川省,蓝剑·冰川时代,饮用天然矿泉水,GB 8537
西南地区,四川省,峨眉山泉,饮用天然矿泉水,GB 8537
西南地区,四川省,什邡矿泉水,饮用天然矿泉水,GB 8537
西南地区,重庆市,不老泉,包装饮用水,GB 19298
西南地区,重庆市,中梁山,饮用天然矿泉水,GB 8537
西南地区,重庆市,重啤矿泉水,饮用天然矿泉水,GB 8537
西南地区,贵州省,北极熊,饮用纯净水,GB 17323
西南地区,贵州省,黄果树,包装饮用水,GB 19298
西南地区,贵州省,石阡矿泉水,饮用天然矿泉水,GB 8537
西南地区,贵州省,贵茶泡茶水,包装饮用水,GB 19298
西南地区,云南省,云南山泉,饮用天然山泉水,GB 19298
西南地区,云南省,石林天外天,饮用天然矿泉水,GB 8537
西南地区,云南省,云南清泉,包装饮用水,GB 19298
西南地区,西藏自治区,5100西藏冰川,饮用天然矿泉水,GB 8537
西南地区,西藏自治区,卓玛泉,饮用天然冰川水(包装饮用水),GB 19298
西南地区,西藏自治区,格桑泉,包装饮用水,GB 19298
西北地区,陕西省,大秦之水,饮用天然水,GB 19298
西北地区,陕西省,太白山,饮用天然山泉水,GB 19298
西北地区,陕西省,延安冰泉,包装饮用水,GB 19298
西北地区,甘肃省,祁连山1号冰川,饮用天然矿泉水,GB 8537
西北地区,甘肃省,黄河源,包装饮用水,GB 19298
西北地区,甘肃省,玛岈,饮用天然矿泉水,GB 8537
西北地区,青海省,昆仑山,饮用天然矿泉水,GB 8537
西北地区,青海省,昂思多,饮用天然矿泉水,GB 8537
西北地区,青海省,青藏冰泉,饮用天然矿泉水,GB 8537
西北地区,宁夏回族自治区,贺兰雪,包装饮用水,GB 19298
西北地区,宁夏回族自治区,贺兰冰泉,包装饮用水,GB 19298
西北地区,新疆维吾尔自治区,帕米尔,饮用天然矿泉水,GB 8537
西北地区,新疆维吾尔自治区,格莱雪,冰川水(包装饮用水),GB 19298
西北地区,新疆维吾尔自治区,昆仑之星,饮用天然矿泉水,GB 8537
